site_id,capture_date,survey_year,period_id,pit_tag_id,swab_id,bd_load
70550,2013-07-26,2013,8.2.3,118001030063,USGS1767,325.28
70550,2013-07-26,2013,8.2.3,118001030750,USGS1578,116204.64
70550,2013-07-26,2013,8.2.3,118001031348,USGS1613,84878.88
70550,2013-07-26,2013,8.2.3,118001058870,USGS1395,17487.36
70550,2013-07-29,2013,8.3.1,118001031467,NA,NA
70550,2013-07-29,2013,8.3.1,118001057579,NA,NA
70550,2013-07-29,2013,8.3.1,118001058841,NA,NA
70550,2013-07-29,2013,8.3.1,118001058971,NA,NA
70550,2013-07-29,2013,8.3.1,118001059380,NA,NA
70550,2013-07-29,2013,8.3.1,118001067329,NA,NA
70550,2013-07-30,2013,8.3.2,118001029814,NA,NA
70550,2013-07-30,2013,8.3.2,118001030093,NA,NA
70550,2013-07-30,2013,8.3.2,118001058990,USGS1048,0
70550,2013-07-30,2013,8.3.2,118001059949,NA,NA
70550,2013-07-30,2013,8.3.2,118001061228,NA,NA
70550,2013-07-31,2013,8.3.3,118001057927,USGS1189,168.84
70550,2013-07-31,2013,8.3.3,118001057958,USGS1550,411.43
70550,2013-08-03,2013,8.4.1,118001030163,USGS1054,33346.27
70550,2013-08-03,2013,8.4.1,118001057579,USGS1051,5829.6
70550,2013-08-04,2013,8.4.2,118001027920,USGS1156,0
70550,2013-08-04,2013,8.4.2,118001028223,USGS1102,0
70550,2013-08-04,2013,8.4.2,118001029555,YFS432,2482.04
70550,2013-08-04,2013,8.4.2,118001030025,YFS147,0
70550,2013-08-04,2013,8.4.2,118001030093,USGS1190,76655.04
70550,2013-08-04,2013,8.4.2,118001031348,USGS1061,11339.57
70550,2013-08-04,2013,8.4.2,118001031467,USGS1154,453.72
70550,2013-08-04,2013,8.4.2,118001057958,USGS1060,0
70550,2013-08-04,2013,8.4.2,118001058242,USGS1166,79.95
70550,2013-08-04,2013,8.4.2,118001058657,USGS1053,4867.3
70550,2013-08-04,2013,8.4.2,118001058841,USGS1144,14867.9
70550,2013-08-04,2013,8.4.2,118001058870,USGS1103,181260.48
70550,2013-08-04,2013,8.4.2,118001058971,YFS478,45.92
70550,2013-08-04,2013,8.4.2,118001058990,USGS1178,2567.4
70550,2013-08-08,2013,8.5.1,118001030163,USGS1063,133.07
70550,2013-08-08,2013,8.5.1,118001058841,USGS1062,115.11
70550,2013-08-08,2013,8.5.1,118001058990,USGS1064,0
70550,2013-08-09,2013,8.5.2,118001027685,USGS1107,1006.96
70550,2013-08-09,2013,8.5.2,118001027927,USGS1066,906.08
70550,2013-08-09,2013,8.5.2,118001029269,USGS1077,5944.94
70550,2013-08-09,2013,8.5.2,118001029309,USGS1073,0.31
70550,2013-08-09,2013,8.5.2,118001030522,USGS1067,1434.72
70550,2013-08-09,2013,8.5.2,118001030540,USGS1074,56941.92
70550,2013-08-09,2013,8.5.2,118001031348,USGS1079,0
70550,2013-08-09,2013,8.5.2,118001031467,USGS1075,0
70550,2013-08-09,2013,8.5.2,118001031752,USGS1080,2849.32
