time,date,temp_c
1e3,2012-05-10,11.11111111111111
1100,2012-05-10,11.666666666666666
1200,2012-05-10,11.11111111111111
1300,2012-05-10,11.11111111111111
1400,2012-05-10,11.666666666666666
1500,2012-05-10,11.666666666666666
1e3,2012-05-11,6.666666666666667
1100,2012-05-11,7.777777777777778
1200,2012-05-11,8.88888888888889
1300,2012-05-11,10
1400,2012-05-11,11.666666666666666
1500,2012-05-11,13.333333333333334
1e3,2012-05-12,9.444444444444445
1100,2012-05-12,10
1200,2012-05-12,11.666666666666666
1300,2012-05-12,13.333333333333334
1400,2012-05-12,13.88888888888889
1500,2012-05-12,16.11111111111111
1e3,2012-05-13,10.555555555555555
1100,2012-05-13,12.777777777777779
1200,2012-05-13,13.333333333333334
1300,2012-05-13,14.444444444444445
1400,2012-05-13,15.555555555555555
1500,2012-05-13,16.666666666666668
1e3,2012-05-14,12.777777777777779
1100,2012-05-14,12.777777777777779
1200,2012-05-14,13.333333333333334
1300,2012-05-14,12.777777777777779
1400,2012-05-14,12.222222222222221
1500,2012-05-14,12.222222222222221
1e3,2012-05-15,9.444444444444445
1100,2012-05-15,11.666666666666666
1200,2012-05-15,11.11111111111111
1300,2012-05-15,13.333333333333334
1400,2012-05-15,12.777777777777779
1500,2012-05-15,12.777777777777779
1e3,2012-05-16,14.444444444444445
1100,2012-05-16,15
1200,2012-05-16,14.444444444444445
1300,2012-05-16,15
1400,2012-05-16,15
1500,2012-05-16,15.555555555555555
1e3,2012-05-17,10
1100,2012-05-17,11.11111111111111
1200,2012-05-17,10.555555555555555
1300,2012-05-17,11.11111111111111
1400,2012-05-17,10
1500,2012-05-17,9.444444444444445
1e3,2012-05-18,3.888888888888889
1100,2012-05-18,5
1200,2012-05-18,6.666666666666667
1300,2012-05-18,7.777777777777778
1400,2012-05-18,8.88888888888889
1500,2012-05-18,8.88888888888889
1e3,2012-05-19,7.777777777777778
1100,2012-05-19,10
1200,2012-05-19,12.222222222222221
1300,2012-05-19,11.666666666666666
1400,2012-05-19,12.777777777777779
1500,2012-05-19,12.777777777777779
1e3,2012-05-20,12.222222222222221
1100,2012-05-20,12.777777777777779
1200,2012-05-20,13.333333333333334
1300,2012-05-20,16.11111111111111
1400,2012-05-20,16.666666666666668
1500,2012-05-20,17.77777777777778
1e3,2012-05-21,11.666666666666666
1100,2012-05-21,13.333333333333334
1200,2012-05-21,13.333333333333334
1300,2012-05-21,15
1400,2012-05-21,15
1500,2012-05-21,15.555555555555555
1e3,2012-05-22,12.222222222222221
1100,2012-05-22,12.777777777777779
1200,2012-05-22,12.222222222222221
1300,2012-05-22,12.777777777777779
1400,2012-05-22,11.666666666666666
1500,2012-05-22,12.777777777777779
1e3,2012-05-23,7.777777777777778
1100,2012-05-23,8.333333333333334
1200,2012-05-23,9.444444444444445
1300,2012-05-23,10
1400,2012-05-23,10.555555555555555
1500,2012-05-23,10.555555555555555
1e3,2012-05-24,8.333333333333334
1100,2012-05-24,8.333333333333334
1200,2012-05-24,9.444444444444445
